placement,group,comp,grp_count,grp_placement,mode
6,-1,"Braum, Bruiser, Darius, Divinicorp, Elise, Gragas, Kobuko, MissFortune, Mob, Rhaast, Thirsty, Vanguard",537,4.72,"AnimaSquad, Aurora, BallisTek, Cutter, Divinicorp, Leona, Rhaast, Skarner, Thirsty, Urgot, Vanguard, Vex, Virus, Zac"
6,-1,"Armorclad, Cyberboss, Galio, Illaoi, Sejuani, Shyvana, Techie, Veigar, Ziggs",537,4.72,"AnimaSquad, Aurora, BallisTek, Cutter, Divinicorp, Leona, Rhaast, Skarner, Thirsty, Urgot, Vanguard, Vex, Virus, Zac"
6,-1,"AnimaSquad, Armorclad, Illaoi, Jhin, Leona, Marksman, Vanguard, Vayne, Xayah, Yuumi",537,4.72,"AnimaSquad, Aurora, BallisTek, Cutter, Divinicorp, Leona, Rhaast, Skarner, Thirsty, Urgot, Vanguard, Vex, Virus, Zac"
3,-1,"Armorclad, Aurora, Divinicorp, Galio, MissFortune, Overlord, Renekton, Sejuani, Thirsty, Virus, Zac",537,4.72,"AnimaSquad, Aurora, BallisTek, Cutter, Divinicorp, Leona, Rhaast, Skarner, Thirsty, Urgot, Vanguard, Vex, Virus, Zac"
6,-1,"Divinicorp, Gragas, Jarvan, Rhaast, Senna, Strong, Vayne, Zed",537,4.72,"AnimaSquad, Aurora, BallisTek, Cutter, Divinicorp, Leona, Rhaast, Skarner, Thirsty, Urgot, Vanguard, Vex, Virus, Zac"
6,-1,"BallisTek, Bruiser, Chogath, Cutter, Divinicorp, Gragas, Overlord, Renekton, Rhaast, Senna, Strong, Urgot, Vex, Zed",537,4.72,"AnimaSquad, Aurora, BallisTek, Cutter, Divinicorp, Leona, Rhaast, Skarner, Thirsty, Urgot, Vanguard, Vex, Virus, Zac"
6,-1,"Armorclad, Aurora, Bruiser, Divinicorp, Elise, Gragas, Jhin, Mordekaiser, Overlord, Renekton, Thirsty, Virus, Zac",537,4.72,"AnimaSquad, Aurora, BallisTek, Cutter, Divinicorp, Leona, Rhaast, Skarner, Thirsty, Urgot, Vanguard, Vex, Virus, Zac"
6,-1,"AnimaSquad, Aphelios, Illaoi, Leona, Marksman, Vanguard, Vayne, Virus, Xayah, Zac",537,4.72,"AnimaSquad, Aurora, BallisTek, Cutter, Divinicorp, Leona, Rhaast, Skarner, Thirsty, Urgot, Vanguard, Vex, Virus, Zac"
6,-1,"Bruiser, Chogath, Darius, Divinicorp, Elise, Gragas, Kobuko, MissFortune, Mordekaiser, Thirsty",537,4.72,"AnimaSquad, Aurora, BallisTek, Cutter, Divinicorp, Leona, Rhaast, Skarner, Thirsty, Urgot, Vanguard, Vex, Virus, Zac"
6,-1,"Bruiser, Cutter, Divinicorp, Gragas, Jarvan, Kobuko, Overlord, Renekton, Rhaast, Senna, Strong, Urgot, Vanguard, Vex",537,4.72,"AnimaSquad, Aurora, BallisTek, Cutter, Divinicorp, Leona, Rhaast, Skarner, Thirsty, Urgot, Vanguard, Vex, Virus, Zac"
6,-1,"Divinicorp, EdgeRunner, Immortal, Jarvan, Jhin, Leona, Marksman, MissFortune, Mordekaiser, Rhaast, Sejuani, Thirsty, Vanguard, Zeri",537,4.72,"AnimaSquad, Aurora, BallisTek, Cutter, Divinicorp, Leona, Rhaast, Skarner, Thirsty, Urgot, Vanguard, Vex, Virus, Zac"
3,-1,"Armorclad, Bruiser, Darius, Divinicorp, EdgeRunner, Jhin, MissFortune, Mob, Mordekaiser, Overlord, Renekton, Sejuani, Swift, Thirsty, TwistedFate, Virus, Zac, Zeri",537,4.72,"AnimaSquad, Aurora, BallisTek, Cutter, Divinicorp, Leona, Rhaast, Skarner, Thirsty, Urgot, Vanguard, Vex, Virus, Zac"
6,-1,"Annie, Armorclad, Elise, HotRod, Naafiri, Shyvana, SummonLevel2, Supercharge, Yuumi",537,4.72,"AnimaSquad, Aurora, BallisTek, Cutter, Divinicorp, Leona, Rhaast, Skarner, Thirsty, Urgot, Vanguard, Vex, Virus, Zac"
6,-1,"Armorclad, Brand, Cyberboss, Fiddlesticks, Mordekaiser, Sejuani, Techie, Veigar, Viego, ViegoUniqueTrait",537,4.72,"AnimaSquad, Aurora, BallisTek, Cutter, Divinicorp, Leona, Rhaast, Skarner, Thirsty, Urgot, Vanguard, Vex, Virus, Zac"
6,-1,"Brand, Controller, Cutter, Ekko, Jinx, Neeko, Rengar, StreetDemon, Techie, Varus, Virus, Zac",537,4.72,"AnimaSquad, Aurora, BallisTek, Cutter, Divinicorp, Leona, Rhaast, Skarner, Thirsty, Urgot, Vanguard, Vex, Virus, Zac"
3,-1,"AnimaSquad, Aurora, BallisTek, Cutter, Divinicorp, Garen, Leona, Netgod, Skarner, Thirsty, Urgot, Vanguard, Vex",537,4.72,"AnimaSquad, Aurora, BallisTek, Cutter, Divinicorp, Leona, Rhaast, Skarner, Thirsty, Urgot, Vanguard, Vex, Virus, Zac"
6,-1,"Armorclad, Divinicorp, EdgeRunner, Elise, HotRod, Mordekaiser, Sejuani, Shyvana, SummonLevel2, Swift, Techie, Thirsty, Zeri",537,4.72,"AnimaSquad, Aurora, BallisTek, Cutter, Divinicorp, Leona, Rhaast, Skarner, Thirsty, Urgot, Vanguard, Vex, Virus, Zac"
6,-1,"Aurora, Brand, Fiddlesticks, Mordekaiser, Neeko, Shyvana, StreetDemon, Techie, Veigar, Viego, ViegoUniqueTrait",537,4.72,"AnimaSquad, Aurora, BallisTek, Cutter, Divinicorp, Leona, Rhaast, Skarner, Thirsty, Urgot, Vanguard, Vex, Virus, Zac"
